episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
125,1,right_lane,adaptive,True,3.1623,40,0,22.002496438936525,0.0,0.0,40.0,0.0,4.5,62.25399430229843,42.50399430229844,19.75,nan,0.0,0,0,0,40
126,1,right_lane,adaptive,True,3.1623,40,0,21.018957344257622,0.0,0.0,40.0,0.0,3.5,61.453200895730006,41.45320089573,20.0,nan,0.0,0,0,0,40
127,1,right_lane,adaptive,True,3.1623,40,0,21.018957345971565,0.0,1.0,39.0,0.0,18.0,61.42939833206728,41.42939833206728,20.0,nan,0.0,0,0,0,40
128,1,right_lane,adaptive,True,3.1623,17,1,24.750487838206908,1.0,1.0,15.0,1.0,3.0,28.278399085287095,20.028399085287095,8.25,nan,0.0,0,0,0,17
129,1,right_lane,adaptive,True,3.1623,40,0,23.76895734594235,0.0,1.0,39.0,0.0,12.0,65.07939832963936,45.329398329639346,19.75,nan,0.0,0,0,0,40
130,1,right_lane,adaptive,True,3.1623,40,0,21.518957345971565,0.0,0.0,40.0,0.0,9.5,62.23033175359509,42.230331753595095,20.0,nan,0.0,0,0,0,40
131,1,right_lane,adaptive,True,3.1623,40,0,21.768957345971565,0.0,1.0,39.0,0.0,0.5,62.62939832968611,42.6293983296861,20.0,nan,0.0,0,0,0,40
132,1,right_lane,adaptive,True,3.1623,40,0,21.250043292099726,0.0,1.0,39.0,0.0,14.5,61.799135182235744,41.79913518223574,20.0,nan,0.0,0,0,0,40
133,1,right_lane,adaptive,True,3.1623,40,0,21.018957345971554,0.0,1.0,39.0,0.0,2.5,61.455674969348124,41.455674969348124,20.0,nan,0.0,0,0,0,40
134,1,right_lane,adaptive,True,3.1623,40,0,20.393957345971565,0.0,0.0,40.0,0.0,20.0,60.43033175355452,40.43033175355452,20.0,nan,0.0,0,0,0,40
135,1,right_lane,adaptive,True,3.1623,40,0,21.518957345971565,0.0,0.0,40.0,0.0,15.5,62.2303317535545,42.230331753554495,20.0,nan,0.0,0,0,0,40
136,1,right_lane,adaptive,True,3.1623,40,0,20.768957345971565,0.0,1.0,39.0,0.0,0.5,61.02939766774115,41.02939766774115,20.0,nan,0.0,0,0,0,40
137,1,right_lane,adaptive,True,3.1623,40,0,21.643957345971554,0.0,5.0,35.0,2.0,10.5,61.428688781278105,42.42868878127811,19.0,18.0,0.075,0,0,3,37
138,1,right_lane,adaptive,True,3.1623,40,0,21.143957345971565,0.0,1.0,39.0,0.0,1.0,61.62939766774184,41.62939766774184,20.0,nan,0.0,0,0,0,40
139,1,right_lane,adaptive,True,3.1623,40,0,20.393957345971565,1.0,1.0,38.0,0.5,13.5,60.17839717648496,40.42839717648496,19.75,nan,0.0,0,0,0,40
140,1,right_lane,adaptive,True,3.1623,18,1,20.875460768825693,0.0,1.0,17.0,0.5,9.0,27.429397666520444,18.429397666520444,9.0,nan,0.0,0,0,0,18
141,1,right_lane,adaptive,True,3.1623,40,0,22.768634297606514,0.0,1.0,39.0,0.0,1.5,63.47888145230203,43.72888145230203,19.75,nan,0.0,0,0,0,40
142,1,right_lane,adaptive,True,3.1623,40,0,21.643957345774943,0.0,4.0,36.0,1.5,12.0,61.67850641305263,42.42850641305263,19.25,18.0,0.075,0,0,3,37
143,1,right_lane,adaptive,True,3.1623,40,0,21.231377104427974,0.0,1.0,39.0,0.0,3.0,61.76926928032389,41.76926928032387,20.0,nan,0.0,0,0,0,40
144,1,right_lane,adaptive,True,3.1623,40,0,21.143957345971565,0.0,0.0,40.0,0.0,13.5,61.85620455003645,41.85620455003646,20.0,nan,0.0,0,0,0,40
145,1,right_lane,adaptive,True,3.1623,40,0,20.643957345971565,1.0,1.0,38.0,0.5,17.0,60.57839717648495,40.82839717648495,19.75,nan,0.0,0,0,0,40
146,1,right_lane,adaptive,True,3.1623,40,0,21.143919754885687,0.0,1.0,39.0,0.0,1.0,61.62933752078303,41.62933752078304,20.0,nan,0.0,0,0,0,40
147,1,right_lane,adaptive,True,3.1623,37,1,21.371845779428718,0.0,1.0,36.0,0.5,3.0,57.329449893052235,38.82944989305223,18.5,nan,0.0,0,0,0,37
